chunk_0600_labeled_enc.csv, anomalies: 21, ratio: 0.0084%
chunk_0930_labeled_enc.csv, anomalies: 5, ratio: 0.0020%
chunk_0934_labeled_enc.csv, anomalies: 5, ratio: 0.0020%
chunk_0989_labeled_enc.csv, anomalies: 5, ratio: 0.0020%
chunk_1782_labeled_enc.csv, anomalies: 5, ratio: 0.0020%
chunk_1783_labeled_enc.csv, anomalies: 5, ratio: 0.0020%
chunk_0121_labeled_enc.csv, anomalies: 4, ratio: 0.0016%
chunk_0564_labeled_enc.csv, anomalies: 4, ratio: 0.0016%
chunk_0567_labeled_enc.csv, anomalies: 4, ratio: 0.0016%
chunk_0578_labeled_enc.csv, anomalies: 4, ratio: 0.0016%
chunk_0595_labeled_enc.csv, anomalies: 4, ratio: 0.0016%
chunk_0599_labeled_enc.csv, anomalies: 4, ratio: 0.0016%
chunk_0834_labeled_enc.csv, anomalies: 4, ratio: 0.0016%
chunk_0849_labeled_enc.csv, anomalies: 4, ratio: 0.0016%
chunk_0910_labeled_enc.csv, anomalies: 4, ratio: 0.0016%
chunk_0911_labeled_enc.csv, anomalies: 4, ratio: 0.0016%
chunk_0916_labeled_enc.csv, anomalies: 4, ratio: 0.0016%
chunk_0937_labeled_enc.csv, anomalies: 4, ratio: 0.0016%
chunk_1062_labeled_enc.csv, anomalies: 4, ratio: 0.0016%
chunk_1088_labeled_enc.csv, anomalies: 4, ratio: 0.0016%
chunk_1784_labeled_enc.csv, anomalies: 4, ratio: 0.0016%
chunk_0174_labeled_enc.csv, anomalies: 3, ratio: 0.0012%
chunk_0326_labeled_enc.csv, anomalies: 3, ratio: 0.0012%
chunk_0561_labeled_enc.csv, anomalies: 3, ratio: 0.0012%
chunk_0575_labeled_enc.csv, anomalies: 3, ratio: 0.0012%
chunk_0577_labeled_enc.csv, anomalies: 3, ratio: 0.0012%
chunk_0589_labeled_enc.csv, anomalies: 3, ratio: 0.0012%
chunk_0593_labeled_enc.csv, anomalies: 3, ratio: 0.0012%
chunk_0817_labeled_enc.csv, anomalies: 3, ratio: 0.0012%
chunk_0820_labeled_enc.csv, anomalies: 3, ratio: 0.0012%
chunk_0823_labeled_enc.csv, anomalies: 3, ratio: 0.0012%
chunk_0836_labeled_enc.csv, anomalies: 3, ratio: 0.0012%
chunk_0920_labeled_enc.csv, anomalies: 3, ratio: 0.0012%
chunk_0990_labeled_enc.csv, anomalies: 3, ratio: 0.0012%
chunk_0991_labeled_enc.csv, anomalies: 3, ratio: 0.0012%
chunk_0997_labeled_enc.csv, anomalies: 3, ratio: 0.0012%
chunk_1090_labeled_enc.csv, anomalies: 3, ratio: 0.0012%
chunk_1092_labeled_enc.csv, anomalies: 3, ratio: 0.0012%
chunk_1096_labeled_enc.csv, anomalies: 3, ratio: 0.0012%
chunk_1097_labeled_enc.csv, anomalies: 3, ratio: 0.0012%
chunk_1098_labeled_enc.csv, anomalies: 3, ratio: 0.0012%
chunk_1434_labeled_enc.csv, anomalies: 3, ratio: 0.0012%
chunk_2000_labeled_enc.csv, anomalies: 3, ratio: 0.0012%
chunk_2001_labeled_enc.csv, anomalies: 3, ratio: 0.0012%
chunk_0118_labeled_enc.csv, anomalies: 2, ratio: 0.0008%
chunk_0119_labeled_enc.csv, anomalies: 2, ratio: 0.0008%
chunk_0160_labeled_enc.csv, anomalies: 2, ratio: 0.0008%
chunk_0322_labeled_enc.csv, anomalies: 2, ratio: 0.0008%
chunk_0335_labeled_enc.csv, anomalies: 2, ratio: 0.0008%
chunk_0440_labeled_enc.csv, anomalies: 2, ratio: 0.0008%
chunk_0565_labeled_enc.csv, anomalies: 2, ratio: 0.0008%
chunk_0579_labeled_enc.csv, anomalies: 2, ratio: 0.0008%
chunk_0582_labeled_enc.csv, anomalies: 2, ratio: 0.0008%
chunk_0588_labeled_enc.csv, anomalies: 2, ratio: 0.0008%
chunk_0590_labeled_enc.csv, anomalies: 2, ratio: 0.0008%
chunk_0591_labeled_enc.csv, anomalies: 2, ratio: 0.0008%
chunk_0592_labeled_enc.csv, anomalies: 2, ratio: 0.0008%
chunk_0594_labeled_enc.csv, anomalies: 2, ratio: 0.0008%
chunk_0596_labeled_enc.csv, anomalies: 2, ratio: 0.0008%
chunk_0822_labeled_enc.csv, anomalies: 2, ratio: 0.0008%
chunk_0842_labeled_enc.csv, anomalies: 2, ratio: 0.0008%
chunk_0850_labeled_enc.csv, anomalies: 2, ratio: 0.0008%
chunk_0898_labeled_enc.csv, anomalies: 2, ratio: 0.0008%
chunk_0899_labeled_enc.csv, anomalies: 2, ratio: 0.0008%
chunk_0914_labeled_enc.csv, anomalies: 2, ratio: 0.0008%
chunk_0923_labeled_enc.csv, anomalies: 2, ratio: 0.0008%
chunk_0932_labeled_enc.csv, anomalies: 2, ratio: 0.0008%
chunk_0933_labeled_enc.csv, anomalies: 2, ratio: 0.0008%
chunk_0977_labeled_enc.csv, anomalies: 2, ratio: 0.0008%
chunk_0992_labeled_enc.csv, anomalies: 2, ratio: 0.0008%
chunk_1095_labeled_enc.csv, anomalies: 2, ratio: 0.0008%
chunk_1774_labeled_enc.csv, anomalies: 2, ratio: 0.0008%
chunk_1775_labeled_enc.csv, anomalies: 2, ratio: 0.0008%
chunk_1780_labeled_enc.csv, anomalies: 2, ratio: 0.0008%
chunk_1781_labeled_enc.csv, anomalies: 2, ratio: 0.0008%
chunk_1837_labeled_enc.csv, anomalies: 2, ratio: 0.0008%
chunk_1999_labeled_enc.csv, anomalies: 2, ratio: 0.0008%
chunk_0120_labeled_enc.csv, anomalies: 1, ratio: 0.0004%
chunk_0122_labeled_enc.csv, anomalies: 1, ratio: 0.0004%
chunk_0159_labeled_enc.csv, anomalies: 1, ratio: 0.0004%
chunk_0167_labeled_enc.csv, anomalies: 1, ratio: 0.0004%
chunk_0176_labeled_enc.csv, anomalies: 1, ratio: 0.0004%
chunk_0177_labeled_enc.csv, anomalies: 1, ratio: 0.0004%
chunk_0180_labeled_enc.csv, anomalies: 1, ratio: 0.0004%
chunk_0323_labeled_enc.csv, anomalies: 1, ratio: 0.0004%
chunk_0324_labeled_enc.csv, anomalies: 1, ratio: 0.0004%
chunk_0325_labeled_enc.csv, anomalies: 1, ratio: 0.0004%
chunk_0327_labeled_enc.csv, anomalies: 1, ratio: 0.0004%
chunk_0328_labeled_enc.csv, anomalies: 1, ratio: 0.0004%
chunk_0330_labeled_enc.csv, anomalies: 1, ratio: 0.0004%
chunk_0336_labeled_enc.csv, anomalies: 1, ratio: 0.0004%
chunk_0347_labeled_enc.csv, anomalies: 1, ratio: 0.0004%
chunk_0348_labeled_enc.csv, anomalies: 1, ratio: 0.0004%
chunk_0350_labeled_enc.csv, anomalies: 1, ratio: 0.0004%
chunk_0351_labeled_enc.csv, anomalies: 1, ratio: 0.0004%
chunk_0352_labeled_enc.csv, anomalies: 1, ratio: 0.0004%
chunk_0354_labeled_enc.csv, anomalies: 1, ratio: 0.0004%
chunk_0356_labeled_enc.csv, anomalies: 1, ratio: 0.0004%
chunk_0434_labeled_enc.csv, anomalies: 1, ratio: 0.0004%
chunk_0478_labeled_enc.csv, anomalies: 1, ratio: 0.0004%
chunk_0568_labeled_enc.csv, anomalies: 1, ratio: 0.0004%
chunk_0573_labeled_enc.csv, anomalies: 1, ratio: 0.0004%
chunk_0583_labeled_enc.csv, anomalies: 1, ratio: 0.0004%
chunk_0816_labeled_enc.csv, anomalies: 1, ratio: 0.0004%
chunk_0843_labeled_enc.csv, anomalies: 1, ratio: 0.0004%
chunk_0846_labeled_enc.csv, anomalies: 1, ratio: 0.0004%
chunk_0847_labeled_enc.csv, anomalies: 1, ratio: 0.0004%
chunk_0848_labeled_enc.csv, anomalies: 1, ratio: 0.0004%
chunk_0857_labeled_enc.csv, anomalies: 1, ratio: 0.0004%
chunk_0900_labeled_enc.csv, anomalies: 1, ratio: 0.0004%
chunk_0902_labeled_enc.csv, anomalies: 1, ratio: 0.0004%
chunk_0912_labeled_enc.csv, anomalies: 1, ratio: 0.0004%
chunk_0921_labeled_enc.csv, anomalies: 1, ratio: 0.0004%
chunk_0925_labeled_enc.csv, anomalies: 1, ratio: 0.0004%
chunk_0926_labeled_enc.csv, anomalies: 1, ratio: 0.0004%
chunk_0928_labeled_enc.csv, anomalies: 1, ratio: 0.0004%
chunk_0936_labeled_enc.csv, anomalies: 1, ratio: 0.0004%
chunk_0987_labeled_enc.csv, anomalies: 1, ratio: 0.0004%
chunk_0988_labeled_enc.csv, anomalies: 1, ratio: 0.0004%
chunk_0993_labeled_enc.csv, anomalies: 1, ratio: 0.0004%
chunk_0998_labeled_enc.csv, anomalies: 1, ratio: 0.0004%
chunk_1000_labeled_enc.csv, anomalies: 1, ratio: 0.0004%
chunk_1001_labeled_enc.csv, anomalies: 1, ratio: 0.0004%
chunk_1002_labeled_enc.csv, anomalies: 1, ratio: 0.0004%
chunk_1091_labeled_enc.csv, anomalies: 1, ratio: 0.0004%
chunk_1355_labeled_enc.csv, anomalies: 1, ratio: 0.0004%
chunk_1439_labeled_enc.csv, anomalies: 1, ratio: 0.0004%
chunk_1506_labeled_enc.csv, anomalies: 1, ratio: 0.0004%
chunk_1773_labeled_enc.csv, anomalies: 1, ratio: 0.0004%
chunk_1778_labeled_enc.csv, anomalies: 1, ratio: 0.0004%
chunk_1785_labeled_enc.csv, anomalies: 1, ratio: 0.0004%
chunk_1786_labeled_enc.csv, anomalies: 1, ratio: 0.0004%
chunk_1830_labeled_enc.csv, anomalies: 1, ratio: 0.0004%
chunk_1831_labeled_enc.csv, anomalies: 1, ratio: 0.0004%
chunk_1834_labeled_enc.csv, anomalies: 1, ratio: 0.0004%
chunk_1839_labeled_enc.csv, anomalies: 1, ratio: 0.0004%
chunk_1840_labeled_enc.csv, anomalies: 1, ratio: 0.0004%
chunk_1841_labeled_enc.csv, anomalies: 1, ratio: 0.0004%
chunk_1852_labeled_enc.csv, anomalies: 1, ratio: 0.0004%
chunk_1919_labeled_enc.csv, anomalies: 1, ratio: 0.0004%
chunk_1926_labeled_enc.csv, anomalies: 1, ratio: 0.0004%
chunk_1983_labeled_enc.csv, anomalies: 1, ratio: 0.0004%
chunk_2006_labeled_enc.csv, anomalies: 1, ratio: 0.0004%
